product_id,product_name,review_text,rating,sentiment_label,sentiment_score,positive_count,neutral_count,negative_count,positive_pct,neutral_pct,negative_pct,avg_sentiment_score,num_reviews_used
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",This product so far has not disappointed. My children love to use it and I like the ability to monitor control what content they see with ease.,5.0,positive,0.9868711829185486,2572,21,221,91.4,0.75,7.85,0.8862,2814.0
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",great for beginner or experienced person. Bought as a gift and she loves it,5.0,positive,0.9583881497383118,2572,21,221,91.4,0.75,7.85,0.8862,2814.0
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","Inexpensive tablet for him to use and learn on, step up from the NABI. He was thrilled with it, learn how to Skype on it already...",5.0,positive,0.928245484828949,2572,21,221,91.4,0.75,7.85,0.8862,2814.0
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",I've had my Fire HD 8 two weeks now and I love it. This tablet is a great value.We are Prime Members and that is where this tablet SHINES. I love being able to easily access all of the Prime content as well as movies you can download and watch laterThis has a 1280/800 screen which has some really nice look to it its nice and crisp and very bright infact it is brighter then the ipad pro costing $900 base model. The build on this fire is INSANELY AWESOME running at only 7.7mm thick and the smooth glossy feel on the back it is really amazing to hold its like the futuristic tab in ur hands.,4.0,positive,0.9793237447738647,2572,21,221,91.4,0.75,7.85,0.8862,2814.0
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","I bought this for my grand daughter when she comes over to visit. I set it up with her as the user, entered her age and name and now Amazon makes sure that she only accesses sites and content that are appropriate to her age. Simple to do and she loves the capabilities. I also bought and installed a 64gig SD card which gives this little tablet plenty of storage. For the price I think this tablet is best one out there. You can spend hundreds of dollars more for additional speed and capacity but when it comes to the basics this tablets does everything that most people will ever need at a fraction of the cost.",5.0,positive,0.8823566436767578,2572,21,221,91.4,0.75,7.85,0.8862,2814.0
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",This amazon fire 8 inch tablet is the perfect size. I purchased it for my husband so that he has a bigger screen than just his phone. He had gotten me one a few years ago so I knew it would be a good purchase.,5.0,positive,0.8364918828010559,2572,21,221,91.4,0.75,7.85,0.8862,2814.0
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","Great for e-reading on the go, nice and light weight, and for the price point given, definitely worth the purchase.",4.0,positive,0.9916874766349792,2572,21,221,91.4,0.75,7.85,0.8862,2814.0
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","I gave this as a Christmas gift to my inlaws, husband and uncle. They loved it and how easy they are to use with fantastic features!",5.0,positive,0.9151873588562012,2572,21,221,91.4,0.75,7.85,0.8862,2814.0
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta","Great as a device to read books. I like that it links with my borrowed library e-books. Switched from another popular tablet brand and I am happy with the choice I made. It took some time to get books from my previous non-Kindle reader, but finally figured out a way!",5.0,positive,0.9792928099632264,2572,21,221,91.4,0.75,7.85,0.8862,2814.0
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",I love ordering books and reading them with the reader.,5.0,positive,0.6461099982261658,2572,21,221,91.4,0.75,7.85,0.8862,2814.0
